"Funcionario_Deixou_Empresa","Freq_Viagens","Formacao","Estado_Civil","Faz_hora_extras","Equilibrio_de_Vida","Idade","Tempo_de_empresa"
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Muito bom",42,22
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Bom",59,2
"Não","Viaja raramente","Mestrado","Divorciado","Não","Bom",50,7
"Sim","Viaja raramente","Ensino Superior","Casado","Sim","Ruim",33,5
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Muito bom",43,17
"Sim","Viaja raramente","Ensino Técnico","Casado","Não","Excelente",33,9
"Não","Não viaja","Mestrado","Solteiro","Sim","Excelente",52,33
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Muito bom",32,4
"Sim","Viaja raramente","Ensino Superior","Solteiro","Sim","Ruim",32,3
"Não","Viaja raramente","Mestrado","Divorciado","Não","Muito bom",39,3
"Não","Não viaja","Mestrado","Casado","Não","Muito bom",32,3
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Bom",41,1
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Muito bom",40,9
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",45,24
"Não","Viaja frequentemente","Mestrado","Divorciado","Não","Muito bom",31,2
"Não","Viaja raramente","Mestrado","Casado","Não","Bom",33,2
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",34,11
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Bom",37,3
"Não","Viaja frequentemente","Mestrado","Casado","Não","Muito bom",45,3
"Sim","Viaja frequentemente","Ensino Superior","Divorciado","Não","Muito bom",37,1
"Não","Viaja frequentemente","Mestrado","Solteiro","Não","Muito bom",39,19
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",29,6
"Não","Viaja raramente","Ensino Técnico","Solteiro","Sim","Muito bom",42,3
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Muito bom",29,3
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",25,4
"Não","Viaja raramente","Ensino Superior","Divorciado","Sim","Muito bom",42,9
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Muito bom",40,21
"Não","Viaja raramente","Ensino Superior","Casado","Não","Bom",51,1
"Sim","Viaja frequentemente","Ensino Técnico","Solteiro","Não","Excelente",31,5
"Não","Viaja frequentemente","Ensino Superior","Casado","Não","Ruim",32,5
"Não","Não viaja","Ensino Técnico","Casado","Não","Muito bom",38,8
"Não","Viaja raramente","Ensino Médio","Solteiro","Não","Muito bom",32,6
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Bom",46,7
"Sim","Viaja raramente","Mestrado","Solteiro","Não","Ruim",28,0
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",29,0
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",31,9
"Não","Não viaja","Ensino Técnico","Divorciado","Não","Muito bom",25,6
"Não","Viaja raramente","Ensino Técnico","Casado","Sim","Muito bom",45,20
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",36,15
"Não","Viaja raramente","Ensino Superior","Solteiro","Sim","Muito bom",55,36
"Sim","Não viaja","Mestrado","Casado","Sim","Bom",47,10
"Não","Viaja raramente","Ensino Superior","Casado","Não","Bom",28,5
"Não","Viaja raramente","Mestrado","Casado","Não","Excelente",37,5
"Não","Viaja raramente","Ensino Técnico","Solteiro","Não","Excelente",21,3
"Não","Não viaja","Mestrado","Divorciado","Sim","Muito bom",37,5
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Bom",35,7
"Não","Viaja raramente","Ensino Técnico","Divorciado","Sim","Muito bom",38,8
"Não","Viaja frequentemente","Ensino Superior","Divorciado","Não","Ruim",26,6
"Não","Viaja raramente","Ensino Médio","Divorciado","Não","Bom",50,10
"Não","Viaja raramente","Mestrado","Casado","Sim","Bom",53,5
"Não","Viaja raramente","Ensino Médio","Casado","Não","Muito bom",42,20
"Não","Viaja frequentemente","Ensino Técnico","Solteiro","Não","Bom",29,10
"Não","Viaja raramente","Ensino Técnico","Casado","Sim","Muito bom",55,10
"Não","Viaja frequentemente","Ensino Técnico","Casado","Sim","Muito bom",26,5
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",37,17
"Sim","Viaja frequentemente","Ensino Superior","Divorciado","Sim","Ruim",44,1
"Não","Viaja raramente","Mestrado","Divorciado","Não","Muito bom",38,2
"Sim","Viaja raramente","Mestrado","Divorciado","Sim","Muito bom",26,3
"Não","Viaja raramente","Ensino Técnico","Solteiro","Não","Muito bom",28,5
"Não","Viaja frequentemente","Mestrado","Solteiro","Sim","Muito bom",49,3
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",36,8
"Não","Viaja frequentemente","Ensino Superior","Divorciado","Não","Bom",31,2
"Sim","Viaja raramente","Mestrado","Solteiro","Sim","Muito bom",26,8
"Não","Viaja frequentemente","Ensino Superior","Casado","Sim","Bom",37,4
"Não","Viaja frequentemente","Ensino Superior","Casado","Não","Excelente",42,20
"Sim","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",18,0
"Não","Viaja raramente","Ensino Superior","Casado","Não","Bom",35,11
"Não","Viaja frequentemente","Mestrado","Casado","Não","Muito bom",36,1
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Muito bom",51,4
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",41,22
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",18,0
"Não","Viaja raramente","Ensino Técnico","Solteiro","Não","Muito bom",28,8
"Não","Viaja raramente","Ensino Superior","Casado","Não","Bom",31,8
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Bom",39,18
"Não","Não viaja","Mestrado","Casado","Não","Muito bom",36,9
"Não","Viaja raramente","Ensino Superior","Casado","Não","Bom",32,13
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Muito bom",38,10
"Não","Não viaja","Mestrado","Divorciado","Sim","Muito bom",58,5
"Não","Viaja raramente","Mestrado","Casado","Sim","Muito bom",31,5
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",31,2
"Não","Viaja frequentemente","Ensino Superior","Divorciado","Não","Muito bom",45,24
"Não","Viaja raramente","Mestrado","Divorciado","Sim","Ruim",31,2
"Não","Viaja frequentemente","Mestrado","Casado","Não","Muito bom",33,10
"Não","Viaja raramente","Ensino Médio","Casado","Sim","Muito bom",39,21
"Não","Viaja frequentemente","Mestrado","Solteiro","Não","Muito bom",43,8
"Não","Viaja raramente","Ensino Técnico","Solteiro","Sim","Muito bom",49,7
"Sim","Viaja raramente","Mestrado","Casado","Não","Bom",52,8
"Não","Viaja raramente","Ensino Superior","Solteiro","Sim","Bom",27,4
"Não","Viaja raramente","Ensino Técnico","Casado","Sim","Muito bom",32,13
"Não","Viaja raramente","Ensino Superior","Solteiro","Sim","Muito bom",27,5
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Muito bom",31,7
"Não","Viaja raramente","Mestrado","Solteiro","Não","Bom",32,7
"Sim","Viaja raramente","Mestrado","Casado","Sim","Bom",28,3
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Muito bom",30,10
"Não","Viaja frequentemente","Ensino Técnico","Casado","Não","Muito bom",31,10
"Não","Viaja frequentemente","Ensino Técnico","Casado","Não","Muito bom",39,21
"Sim","Viaja raramente","Ensino Técnico","Casado","Sim","Bom",39,1
"Não","Viaja frequentemente","Ensino Superior","Solteiro","Não","Bom",33,7
"Não","Viaja raramente","Doutorado","Casado","Não","Muito bom",47,3
"Não","Viaja frequentemente","Mestrado","Divorciado","Não","Excelente",43,9
"Não","Não viaja","Ensino Médio","Casado","Sim","Muito bom",27,5
"Não","Viaja frequentemente","Mestrado","Solteiro","Não","Bom",54,4
"Não","Viaja raramente","Ensino Superior","Casado","Não","Bom",43,1
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",45,10
"Não","Viaja raramente","Ensino Técnico","Casado","Sim","Bom",40,4
"Sim","Viaja raramente","Mestrado","Casado","Sim","Bom",29,7
"Não","Viaja raramente","Doutorado","Solteiro","Não","Muito bom",29,3
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Muito bom",30,10
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",27,8
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Bom",37,6
"Não","Viaja raramente","Ensino Técnico","Divorciado","Sim","Muito bom",38,11
"Não","Viaja raramente","Mestrado","Solteiro","Sim","Bom",31,11
"Não","Viaja raramente","Ensino Médio","Divorciado","Sim","Muito bom",29,7
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",35,16
"Não","Viaja raramente","Ensino Médio","Divorciado","Não","Bom",23,4
"Não","Viaja raramente","Ensino Superior","Solteiro","Sim","Muito bom",41,5
"Não","Viaja frequentemente","Ensino Médio","Solteiro","Não","Muito bom",47,0
"Não","Viaja raramente","Doutorado","Solteiro","Não","Muito bom",42,1
"Não","Não viaja","Ensino Superior","Casado","Não","Bom",29,4
"Não","Viaja raramente","Ensino Médio","Divorciado","Sim","Muito bom",42,3
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",32,8
"Não","Viaja raramente","Ensino Médio","Casado","Não","Ruim",48,0
"Não","Viaja raramente","Ensino Superior","Divorciado","Sim","Muito bom",37,7
"Não","Não viaja","Ensino Técnico","Casado","Sim","Excelente",30,2
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",26,8
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",42,1
"Sim","Viaja frequentemente","Ensino Médio","Solteiro","Sim","Muito bom",21,3
"Não","Não viaja","Doutorado","Solteiro","Não","Muito bom",36,1
"Não","Viaja frequentemente","Mestrado","Casado","Não","Muito bom",36,13
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",57,3
"Não","Viaja raramente","Mestrado","Casado","Sim","Muito bom",40,7
"Não","Não viaja","Ensino Técnico","Solteiro","Não","Bom",21,3
"Sim","Viaja raramente","Ensino Superior","Solteiro","Sim","Muito bom",33,1
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",37,5
"Não","Não viaja","Mestrado","Casado","Não","Excelente",46,1
